dbn,schoolName,network,district,K-4discharge,K-4julyOct,K-4enrollment,K-4adjustedEnrollment,K-4attritionRate,K-4district,6-7discharge,6-7julyOct,6-7enrollment,6-7adjustedEnrollment,6-7attritionRate,6-7district,9-11discharge,9-11julyOct,9-11enrollment,9-11adjustedEnrollment,9-11attritionRate,9-11district
84K508,Achievement First Endeavor Charter School,AchievementFirst,13,23,11,365,376,0.061170213,0.179445107,18,8,178,186,0.096774194,0.122933884,4,3,120,123,0.032520325,0.092596567
84K757,Unity Prep Charter School,,13,0,0,0,0,,,10,1,139,140,0.071428571,0.122933884,0,0,0,0,,
84K785,Imagine Me Leadership Charter School,,19,35,26,221,247,0.141700405,0.198793042,0,0,0,0,,,0,0,0,0,,
84X398,Bronx Community Charter School,,10,20,17,268,285,0.070175439,0.149181945,0,0,0,0,,,0,0,0,0,,
84R073,New World Preparatory Charter School,,31,0,0,0,0,,,20,10,235,245,0.081632653,0.064074289,0,0,0,0,,
84R071,Staten Island Community Charter School,,31,32,17,293,310,0.103225806,0.102254787,0,0,0,0,,,0,0,0,0,,
84X309,South Bronx Charter School for International Cultures and the Arts,,7,65,44,350,394,0.164974619,0.182428872,1,1,0,1,,,0,0,0,0,,
84M708,Harlem Prep Charter School,DemocracyPrep,4,70,45,359,404,0.173267327,0.162017705,52,29,226,255,0.203921569,0.123779947,0,0,0,0,,
84X493,Success Academy Charter School - Bronx 1,Success,7,36,23,466,489,0.073619632,0.182428872,0,0,0,0,,,0,0,0,0,,
84K608,Kings Collegiate Charter School,UncommonSchools,18,0,0,0,0,,,20,16,152,168,0.119047619,0.105030591,13,10,119,129,0.100775194,0.19338886
84M430,The Equity Project Charter School (TEP),,6,0,0,0,0,,,12,10,246,256,0.046875,0.082756786,0,0,0,0,,
84X499,Kingsbridge Innovative Design Charter School,,,6,6,,,,,0,0,,,,,0,0,,,,
84K712,Excellence Girls Charter School,UncommonSchools,16,30,24,417,441,0.068027211,0.257901086,0,0,0,0,,,0,0,0,0,,
